ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,2031
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,513
root:Mixed,Mixed,root,486
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,373
root:Engineered:Bioreactor,Bioreactor,root:Engineered,310
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,294
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,170
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,169
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,161
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,158
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,81
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,78
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,78
root:Engineered:Wastewater,Wastewater,root:Engineered,67
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,65
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,62
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,60
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,59
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,53
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,52
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,48
root:Environmental:Aquatic:Freshwater:Ice:Glacier,Glacier,root:Environmental:Aquatic:Freshwater:Ice,44
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,44
