ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,56139
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,19962
root:Mixed,Mixed,root,13476
root:Engineered:Bioreactor,Bioreactor,root:Engineered,11048
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,10233
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,9935
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,8322
root:Environmental:Aquatic:Freshwater:Groundwater,Groundwater,root:Environmental:Aquatic:Freshwater,7559
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,7271
root:Environmental:Terrestrial:Soil,Soil,root:Environmental:Terrestrial,5370
root:Engineered:Wastewater,Wastewater,root:Engineered,4974
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,4780
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,4155
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,4142
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,4105
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,3332
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,3205
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,3195
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,2745
root:Environmental:Aquatic:Freshwater,Freshwater,root:Environmental:Aquatic,2734
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,2693
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,2655
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,2544
root:Environmental:Aquatic:Freshwater:Sediment,Sediment,root:Environmental:Aquatic:Freshwater,2543
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,2516
root:Engineered:Solid waste:Composting,Composting,root:Engineered:Solid waste,2110
root:Environmental:Aquatic:Freshwater:Lotic:Sediment,Sediment,root:Environmental:Aquatic:Freshwater:Lotic,2019
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,1843
