ids,labels,parents,counts
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,14023
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,3896
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,2035
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Mammals:Digestive system:Large intestine,1224
root:Mixed,Mixed,root,1148
root:Host-associated:Mammals:Digestive system:Fecal,Fecal,root:Host-associated:Mammals:Digestive system,871
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,Sigmoid colon,root:Host-associated:Human:Digestive system:Large intestine,766
root:Host-associated:Birds:Digestive system:Digestive tube,Digestive tube,root:Host-associated:Birds:Digestive system,737
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,687
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,483
root:Engineered:Bioreactor,Bioreactor,root:Engineered,309
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,291
root:Host-associated:Human,Human,root:Host-associated,253
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,222
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,211
root:Engineered:Food production:Fermented beverages,Fermented beverages,root:Engineered:Food production,206
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats,Microbial mats,root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline,199
root:Host-associated:Mammals:Digestive system:Large intestine:Cecum,Cecum,root:Host-associated:Mammals:Digestive system:Large intestine,159
root:Host-associated:Birds,Birds,root:Host-associated,155
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,150
root:Engineered:Biogas plant:Wet fermentation,Wet fermentation,root:Engineered:Biogas plant,130
root:Host-associated:Human:Digestive system:Oral:Saliva,Saliva,root:Host-associated:Human:Digestive system:Oral,111
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,107
root:Engineered:Biogas plant,Biogas plant,root:Engineered,102
root:Environmental:Aquatic:Thermal springs:Hot (42-90C),Hot (42-90C),root:Environmental:Aquatic:Thermal springs,95
root:Host-associated:Human:Skin,Skin,root:Host-associated:Human,91
root:Host-associated:Mammals:Digestive system:Large intestine,Large intestine,root:Host-associated:Mammals:Digestive system,89
