b_value,count
361,15149
356,5130
360,1970
492,1302
428,1028
362,745
422,604
401,487
18,466
80,416
327,382
353,304
4,266
369,264
54,250
421,221
62,205
33,196
319,169
63,159
132,147
476,145
32,119
158,105
106,90
466,88
3,82
426,81
328,76
425,76
2,73
31,69
220,65
363,62
410,61
427,55
197,53
86,50
88,49
405,48
89,48
35,47
446,38
190,36
93,33
121,29
64,28
40,26
9,24
297,19
103,19
30,18
322,18
171,18
133,17
148,17
439,16
7,15
134,15
434,14
120,14
262,14
87,13
85,12
117,12
323,11
346,11
72,11
105,10
241,10
140,9
244,8
429,8
152,7
253,7
111,7
1,6
47,6
248,6
50,5
480,5
354,4
131,4
162,4
370,4
151,4
467,4
326,3
473,3
92,3
204,3
247,3
176,3
142,3
114,3
203,2
165,2
202,2
415,2
60,2
154,2
243,2
239,1
409,1
43,1
301,1
359,1
196,1
418,1
169,1
112,1
147,1
0,1
186,1
